HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LWristYaw,LHand,LhipYawPitch/RhipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,RHand,
0.49521,0.59199,0.83869,0.36164,0.17159,0.36371,0.5063,0.2468,0.60728,0.32306,0.43688,0.3598,0.3961,0.34095,0.6757,0.43684,0.35984,0.39421,0.65771,0.67874,0.92349,0.82839,0.4311,0.49704,0.7416,moving relbowroll
0.49521,0.5907,0.83869,0.36164,0.17122,0.36371,0.5063,0.2468,0.60728,0.32437,0.43764,0.3598,0.3961,0.34095,0.6757,0.43684,0.35915,0.39421,0.65902,0.67874,0.92349,0.82839,0.32847,0.49662,0.7416,moving relbowroll
0.49521,0.5907,0.83869,0.36164,0.17122,0.36371,0.5063,0.2468,0.60728,0.32306,0.43764,0.3598,0.3961,0.34095,0.6757,0.43684,0.35915,0.39421,0.65771,0.67874,0.92349,0.82067,0.32542,0.49662,0.7416,moving relbowyaw
0.49521,0.5907,0.83869,0.36164,0.17122,0.36371,0.5063,0.2468,0.60728,0.32437,0.43688,0.3598,0.3961,0.34226,0.67701,0.43684,0.35915,0.39421,0.65902,0.67874,0.92256,0.72211,0.32644,0.49704,0.7416,moving relbowyaw
0.49521,0.59199,0.83869,0.36164,0.17122,0.36371,0.5063,0.2464,0.60728,0.32437,0.43688,0.3598,0.3961,0.34095,0.67701,0.43684,0.35915,0.39421,0.65771,0.67874,0.92162,0.63164,0.32644,0.44069,0.7416,moving rwristyaw
0.49521,0.59199,0.83869,0.36164,0.17122,0.36269,0.5063,0.2468,0.60728,0.32437,0.43764,0.3598,0.3961,0.34095,0.6757,0.43608,0.35915,0.39493,0.65902,0.67874,0.92256,0.63201,0.32542,0.33598,0.7416,moving rwristyaw
0.49521,0.59199,0.83869,0.36164,0.17122,0.36371,0.5063,0.2468,0.60728,0.32437,0.43764,0.35911,0.3961,0.34095,0.6757,0.43608,0.35984,0.39421,0.65902,0.67874,0.92256,0.63201,0.32542,0.20351,0.7416,moving rwristyaw
0.49521,0.5907,0.83869,0.36164,0.17122,0.36269,0.50588,0.2468,0.60728,0.32437,0.43688,0.35911,0.3961,0.34095,0.6757,0.43684,0.35915,0.39421,0.65771,0.67874,0.92162,0.63201,0.32542,0.20351,0.6456,closing rhand
0.49521,0.5907,0.83869,0.36164,0.17122,0.36371,0.5063,0.2468,0.60728,0.32437,0.43764,0.35911,0.3961,0.34226,0.67701,0.43684,0.35915,0.39421,0.65771,0.67874,0.92162,0.63201,0.32542,0.20351,0.5524,closing rhand
0.49521,0.59199,0.83869,0.36164,0.17159,0.36371,0.50588,0.2464,0.60728,0.32437,0.43688,0.35911,0.3961,0.34095,0.67701,0.43684,0.35984,0.39421,0.65902,0.67874,0.92162,0.63201,0.32542,0.20351,0.4492,closing rhand
0.49521,0.5907,0.83869,0.36164,0.17122,0.36371,0.50588,0.2468,0.60728,0.32437,0.43764,0.35911,0.3961,0.34095,0.6757,0.43608,0.35984,0.39421,0.65902,0.67874,0.92162,0.63201,0.32542,0.20351,0.35,closing rhand
0.49521,0.5907,0.83869,0.36164,0.17122,0.36269,0.5063,0.2464,0.60728,0.32306,0.43688,0.35911,0.3961,0.34095,0.67701,0.43608,0.35984,0.39421,0.65771,0.67874,0.92256,0.63201,0.32542,0.20351,0.2476,closing rhand
